target_name,target_mode,top_quantile,positive_weight,overall_accuracy,hit_rate,cover_rate,precision,recall,f1,average_precision,roc_auc,mean_positive_score,mean_negative_score,positive_negative_score_gap,positive_prediction_rate_at_0.5,positive_prediction_rate_at_0.8,true_positive,true_negative,false_positive,false_negative,num_labels,num_positive_labels,split
relay_count_top10,relay_count_topq,0.1,50.0,0.10227272727272728,0.10227272727272728,1.0,0.10227272727272728,1.0,0.18556701030927836,0.0807590725385032,0.349507735583685,0.7030670179261101,0.706540984820716,-0.0034739668946058844,1.0,0.0,18,0,158,0,176,18,test
relay_count_top10,relay_count_topq,0.1,100.0,0.10677618069815195,0.10677618069815195,1.0,0.10677618069815195,1.0,0.19294990723562153,0.09353346329793379,0.46746733470871404,0.7067410590556952,0.7081446994766878,-0.0014036404209926134,1.0,0.0,156,0,1305,0,1461,156,overall
relay_count_top10,relay_count_topq,0.1,100.0,0.10702614379084967,0.10702614379084967,1.0,0.10702614379084967,1.0,0.19335793357933578,0.09771181581108632,0.48802581312027266,0.7071569025061513,0.7081923669124021,-0.0010354644062507967,1.0,0.0,131,0,1093,0,1224,131,train
relay_count_top10,relay_count_topq,0.1,100.0,0.11475409836065574,0.11475409836065574,1.0,0.11475409836065574,1.0,0.2058823529411765,0.10083439203668886,0.3888888888888889,0.7050436309405735,0.7081786349967674,-0.003135004056193824,1.0,0.0,7,0,54,0,61,7,validation
relay_count_top10,relay_count_topq,0.1,100.0,0.10227272727272728,0.10227272727272728,1.0,0.10227272727272728,1.0,0.18556701030927836,0.07882930699279449,0.34563994374120954,0.7043747537665896,0.7078033512151694,-0.0034285974485797066,1.0,0.0,18,0,158,0,176,18,test
relay_count_top10,relay_count_topq,0.1,200.0,0.10677618069815195,0.10677618069815195,1.0,0.10677618069815195,1.0,0.19294990723562153,0.08441487056261245,0.3988505747126437,0.7941436767578125,0.8026084985312831,-0.008464821773470632,1.0,0.5557837097878165,156,0,1305,0,1461,156,overall
relay_count_top10,relay_count_topq,0.1,200.0,0.10702614379084967,0.10702614379084967,1.0,0.10702614379084967,1.0,0.19335793357933578,0.08145345584125309,0.3834254066474372,0.7927213916341767,0.8025992858987933,-0.009877894264616605,1.0,0.553921568627451,131,0,1093,0,1224,131,train
relay_count_top10,relay_count_topq,0.1,200.0,0.11475409836065574,0.11475409836065574,1.0,0.11475409836065574,1.0,0.2058823529411765,0.0983613548252681,0.3306878306878307,0.7886172107287815,0.8045687101505421,-0.01595149942176055,1.0,0.6229508196721312,7,0,54,0,61,7,validation
relay_count_top10,relay_count_topq,0.1,200.0,0.10227272727272728,0.10227272727272728,1.0,0.10227272727272728,1.0,0.18556701030927836,0.1833409042504529,0.5485232067510548,0.806643933057785,0.8020022832140138,0.004641649843771245,1.0,0.5454545454545454,18,0,158,0,176,18,test
relay_count_top20,relay_count_topq,0.2,20.0,0.20670773442847365,0.20670773442847365,1.0,0.20670773442847365,1.0,0.342597844583097,0.22845846508999665,0.5071053488677725,0.8144551602420428,0.811664067125197,0.0027910931168457775,1.0,0.6105407255304586,302,0,1159,0,1461,302,overall
